"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000112143.2",8.56697854946623,-3.7114140279607,0.49455647252897,-7.50453028949751,6.1649255287702e-14,4.07333652241411e-12
"ENSMUSG00000091329.3",4.8668603057128,-2.96728549117455,0.396014021252922,-7.49287987780471,6.73785626853986e-14,4.44359738827447e-12
"ENSMUSG00000106012.2",4.71136962923369,-3.74070747438577,0.500093444745483,-7.48001701219971,7.43129907781786e-14,4.8918114654446e-12
"ENSMUSG00000047098.19",38.8437910090845,-2.11738231313069,0.283421382700718,-7.47079240441983,7.97133271162544e-14,5.22786570337435e-12
"ENSMUSG00000115339.2",17.421573452992,-3.78809610059183,0.507052115934535,-7.47082199550649,7.96954016419688e-14,5.22786570337435e-12
"ENSMUSG00000086213.3",45.4265375792698,2.09262981589648,0.280265386477319,7.4666010034237,8.22928118919591e-14,5.387060874591e-12
"ENSMUSG00000060429.13",19.2376753546955,-2.36667766694001,0.317487413201785,-7.45439840613722,9.0278809892178e-14,5.89893736592525e-12
"ENSMUSG00000020315.19",239.225506745882,-1.91520246656044,0.257002725313757,-7.45207065108862,9.18864927353781e-14,5.99292843503391e-12
"ENSMUSG00000047237.14",79.9914708469599,-3.94619053114588,0.529655091776323,-7.45049106940784,9.29934358387418e-14,6.05397523939162e-12
"ENSMUSG00000029368.11",12.6351284660214,-2.80426164393421,0.376575420295554,-7.44674636951422,9.56702910060845e-14,6.21681349721189e-12
"ENSMUSG00000059956.15",7.85118243721778,-3.98151938407189,0.535291951897526,-7.43803333855111,1.02195272701929e-13,6.62865491344105e-12
"ENSMUSG00000055480.8",14.0612751338391,-2.25545544774919,0.303342029434259,-7.43535424997215,1.04288098821897e-13,6.752034771074e-12
"ENSMUSG00000029769.18",59.0610356832361,-2.75285851838189,0.370298732796746,-7.4341559248406,1.05237775457441e-13,6.80108725880522e-12
"ENSMUSG00000073888.14",13.1207224822561,3.27622946378897,0.440751058211117,7.43328779988926,1.05931071266563e-13,6.83342238416273e-12
"ENSMUSG00000062202.15",46.0076979310949,-1.84812617240008,0.248705453669205,-7.43098370033419,1.07792996097709e-13,6.94088901236432e-12
"ENSMUSG00000117163.2",21.4619846012555,-3.1753501841805,0.428014747791045,-7.41878685388359,1.1819794964959e-13,7.59706059317647e-12
"ENSMUSG00000041570.15",120.71236648938,-3.00059656167492,0.40455934754637,-7.4169502691592,1.19847921251708e-13,7.68915603465439e-12
"ENSMUSG00000050310.10",226.227146225496,-1.91647043910975,0.258489840826623,-7.41410352136502,1.22450247210019e-13,7.84190868886588e-12
"ENSMUSG00000071711.13",14.3669821881795,-3.19843215999875,0.43159994253206,-7.41064083844533,1.25690559609849e-13,8.03489380610616e-12
"ENSMUSG00000038253.7",3.46434191460255,-4.16993478879755,0.562824735086883,-7.40894017060895,1.27312721269831e-13,8.12392797075869e-12
"ENSMUSG00000051706.4",411.776831044202,3.85060668676271,0.519798811620807,7.40787897293563,1.28335337475341e-13,8.1744531954842e-12
"ENSMUSG00000021993.11",19.0285225303516,-2.59883616580507,0.351643919383741,-7.3905334986584,1.46240849818182e-13,9.29824002928353e-12
"ENSMUSG00000087071.2",4.72607064496988,-4.52399173033499,0.612568948937254,-7.38527758905127,1.52135648343468e-13,9.65570606825073e-12
"ENSMUSG00000018572.11",224.692635131715,2.54903255580068,0.345289086660077,7.38231428180092,1.55561445175416e-13,9.85547152215987e-12
"ENSMUSG00000020773.12",83.4452231752028,-3.66086644554553,0.496601299910206,-7.37184225294512,1.68286078554632e-13,1.06425919143076e-11
"ENSMUSG00000060508.17",84.1268043203312,-2.79909125639529,0.379723633358836,-7.37139069179338,1.6885718540098e-13,1.06596741906875e-11
"ENSMUSG00000027778.16",60.8091093022991,-1.63537467718412,0.22204153959078,-7.3651744632923,1.76915342363744e-13,1.11484997327615e-11
"ENSMUSG00000030410.17",6.53655743014443,-3.15592754206674,0.429028522701166,-7.35598538343558,1.89523754927198e-13,1.19218184382713e-11
"ENSMUSG00000025085.17",42.0574368694179,-2.50571154568322,0.340917272368451,-7.34991081054743,1.98339154761784e-13,1.24542219253343e-11
"ENSMUSG00000111056.2",8.32879954175301,-4.61446279715988,0.62789528839905,-7.34909607129784,1.99551726684096e-13,1.25081847796765e-11
"ENSMUSG00000079003.4",59.1463449535309,-3.36318063272861,0.458376915096024,-7.33715098201241,2.18188432411902e-13,1.36521967029462e-11
"ENSMUSG00000019470.13",61.1248474518269,-2.3777734963246,0.324180413429192,-7.33472288215203,2.22180728008329e-13,1.38774788049647e-11
"ENSMUSG00000110972.2",4.19220468186808,-3.01039031238962,0.411194304960285,-7.32108950944826,2.45965698856841e-13,1.53360479313645e-11
"ENSMUSG00000090147.2",505.750059112083,2.69349632288182,0.367987201471481,7.31953804945188,2.48826021821937e-13,1.54871240119928e-11
"ENSMUSG00000038074.17",5.23307321521312,-3.15209795838316,0.43181469315494,-7.29965424602203,2.88508149033769e-13,1.79254668386508e-11
"ENSMUSG00000086068.2",5.93876986343863,3.65836106418124,0.501750043380347,7.29120228776553,3.07201101170704e-13,1.90534623431882e-11
"ENSMUSG00000009378.5",207.04939541478,2.7414346978724,0.376333695815673,7.28458474049357,3.22662611214183e-13,1.9977441217046e-11
"ENSMUSG00000045004.4",6.49024406062606,-3.38670827174604,0.465070204662614,-7.28214415327452,3.28555713256237e-13,2.03068073036119e-11
"ENSMUSG00000029797.14",64.7490382454011,-2.40183821454759,0.329836417825127,-7.28190728720864,3.29133251953449e-13,2.03070629232254e-11
"ENSMUSG00000036943.10",16.8703541392784,-3.24897302310914,0.446545017403955,-7.27580175901961,3.44368985167707e-13,2.12101349734163e-11
"ENSMUSG00000004054.10",994.143166780968,-3.91995202172744,0.539170113213728,-7.27034367384077,3.58574053715395e-13,2.20467015839075e-11
"ENSMUSG00000022369.14",21.0193875041976,-2.64596151843479,0.364016214948434,-7.26880125054213,3.62691560214223e-13,2.22612159531832e-11
"ENSMUSG00000062064.7",31.1394052300306,-1.98594818616043,0.273359302289073,-7.26497386235028,3.73110409971492e-13,2.28610816075093e-11
"ENSMUSG00000117090.2",7.29763574811641,2.23436767629296,0.307732334816952,7.26075041032666,3.8494868380274e-13,2.35456954004733e-11
"ENSMUSG00000038188.18",466.27429028635,2.14022239042153,0.294889198083233,7.25771715048528,3.93677676147469e-13,2.40380946564873e-11
"ENSMUSG00000026189.14",29.1734513194129,-2.27240632977082,0.31396227143764,-7.23783249294709,4.55912025352606e-13,2.77902312871989e-11
"ENSMUSG00000021485.15",319.266077535664,-2.78988020484834,0.385785655018435,-7.23168466363797,4.77038856153805e-13,2.90280602932767e-11
"ENSMUSG00000019066.14",25.9588027487591,-2.43243952580534,0.3364811133267,-7.2290521799469,4.8637654320127e-13,2.95454979030411e-11
"ENSMUSG00000026663.7",45.9644919479749,-1.90053532726254,0.263007685165531,-7.22615890887899,4.96846337745294e-13,3.01298168685781e-11
"ENSMUSG00000052593.17",1511.24611025321,2.10286384658469,0.291073791376535,7.22450426278472,5.02933089024389e-13,3.04467954663226e-11
"ENSMUSG00000040502.6",47.4656030063841,1.82796078824468,0.253135996190638,7.22125978032786,5.15081467550962e-13,3.11290275995176e-11
"ENSMUSG00000040952.17",53.4995724627588,-2.89941734419939,0.401925313590912,-7.21382119054704,5.44031852819023e-13,3.28226372531273e-11
"ENSMUSG00000010376.16",227.337160342732,1.65551139434239,0.229667344078401,7.20830121054237,5.66542016574013e-13,3.41225944166134e-11
"ENSMUSG00000005320.10",34.2226946200682,-1.85540483778919,0.257433314346165,-7.20732218555934,5.70628802986715e-13,3.43103888926562e-11
"ENSMUSG00000027303.19",41.9448614565077,-2.29212378610593,0.31817391928464,-7.20399645344718,5.84728875640936e-13,3.50985985268199e-11
"ENSMUSG00000104261.2",14.089303494402,-2.63831068705408,0.366259319402514,-7.20339537396075,5.87313512517061e-13,3.51940914480401e-11
"ENSMUSG00002075611.1",12.2574086244583,-3.73030811969687,0.518258788056116,-7.19777108592504,6.120478318211e-13,3.66143141282842e-11
"ENSMUSG00000032332.18",368.037360596082,-3.02974552954201,0.422039943123055,-7.17881228758155,7.03196140547133e-13,4.19961067748342e-11
"ENSMUSG00000028278.15",132.85107911732,3.13798461372,0.437135210356252,7.17852174653843,7.04691833243937e-13,4.20145812699226e-11
